cmtcode         zSNR     zSNR     zSNR
C201604150343A  NaN      NaN      NaN
C201604150450A  NaN      NaN      NaN
C201604150854B  NaN      NaN      NaN
C201604151024A  NaN      NaN      NaN
C201604151105A  NaN      NaN      NaN
C201604151411A  NaN      NaN      NaN
C201604151625A  NaN      NaN      NaN
C201604152211A  NaN      NaN      NaN
C201604160010A  NaN      NaN      NaN
C201604160048A  NaN      NaN      NaN
C201604160605A  NaN      NaN      NaN
C201604160702A  NaN      NaN      NaN
C201604160734A  NaN      NaN      NaN
C201604161055A  NaN      NaN      NaN
C201604161514A  NaN      NaN      NaN
C201604161520A  NaN      NaN      NaN
C201604161629A  NaN      NaN      NaN
C201604162109A  NaN      NaN      NaN
C201604162358A  NaN      NaN      NaN
C201604170713A  NaN      NaN      NaN
C201604170731A  NaN      NaN      NaN
C201604170923A  NaN      NaN      NaN
C201604171933A  NaN      NaN      NaN
C201604180620A  NaN      NaN      NaN
C201604181138A  NaN      NaN      NaN
C201604181142A  NaN      NaN      NaN
C201604181306A  NaN      NaN      NaN
C201604181838A  NaN      NaN      NaN
C201604182115A  NaN      NaN      NaN
C201604182156A  NaN      NaN      NaN
C201604190203A  NaN      NaN      NaN
C201604190247A  NaN      NaN      NaN
C201604190418A  NaN      NaN      NaN
C201604190525A  NaN      NaN      NaN
C201604190852A  NaN      NaN      NaN
C201604191040A  NaN      NaN      NaN
C201604191147A  NaN      NaN      NaN
C201604191303A  NaN      NaN      NaN
C201604191712A  NaN      NaN      NaN
C201604191717A  NaN      NaN      NaN
C201604192032A  NaN      NaN      NaN
C201604192222A  NaN      NaN      NaN
C201604200105A  NaN      NaN      NaN
C201604200328A  NaN      NaN      NaN
C201604200712A  NaN      NaN      NaN
C201604200833A  NaN      NaN      NaN
C201604201041A  NaN      NaN      NaN
C201604201051A  NaN      NaN      NaN
C201604201219A  NaN      NaN      NaN
C201604201603A  NaN      NaN      NaN
C201604202024A  NaN      NaN      NaN
C201604202044B  NaN      NaN      NaN
C201604202130A  NaN      NaN      NaN
C201604210511A  NaN      NaN      NaN
C201604211221A  NaN      NaN      NaN
C201604211428A  NaN      NaN      NaN
C201604211807A  NaN      NaN      NaN
C201604220303A  NaN      NaN      NaN
C201604220320A  NaN      NaN      NaN
C201604220431A  NaN      NaN      NaN
C201604220728A  NaN      NaN      NaN
C201604220813A  NaN      NaN      NaN
C201604220852A  NaN      NaN      NaN
C201604221540A  NaN      NaN      NaN
C201604221847A  NaN      NaN      NaN
C201604221938A  NaN      NaN      NaN
C201604222314A  NaN      NaN      NaN
C201604230124A  NaN      NaN      NaN
C201604230932A  NaN      NaN      NaN
C201604231133A  NaN      NaN      NaN
C201604232311A  NaN      NaN      NaN
C201604240322A  NaN      NaN      NaN
C201604240327A  NaN      NaN      NaN
C201604240432A  NaN      NaN      NaN
C201604240838A  NaN      NaN      NaN
C201604242143A  NaN      NaN      NaN
C201604242224A  NaN      NaN      NaN
C201604250707A  NaN      NaN      NaN
C201604250914A  NaN      NaN      NaN
C201604251813A  NaN      NaN      NaN
C201604252147A  NaN      NaN      NaN
C201604260419A  NaN      NaN      NaN
C201604261204A  NaN      NaN      NaN
C201604261501A  NaN      NaN      NaN
C201604262107A  NaN      NaN      NaN
C201604262158A  NaN      NaN      NaN
C201604262354A  NaN      NaN      NaN
C201604270050A  NaN      NaN      NaN
C201604270204A  NaN      NaN      NaN
C201604271013A  NaN      NaN      NaN
C201604271251A  NaN      NaN      NaN
C201604271453A  NaN      NaN      NaN
C201604271517A  NaN      NaN      NaN
C201604271527A  NaN      NaN      NaN
C201604271714A  NaN      NaN      NaN
C201604271819A  NaN      NaN      NaN
C201604280053A  NaN      NaN      NaN
C201604280117A  NaN      NaN      NaN
C201604281933A  NaN      NaN      NaN
C201604290133A  NaN      NaN      NaN
C201604291737A  NaN      NaN      NaN
C201604292209A  NaN      NaN      NaN
C201604300002A  NaN      NaN      NaN
C201604300020A  NaN      NaN      NaN
C201604300036A  NaN      NaN      NaN
C201604300249A  NaN      NaN      NaN
